stock,start_date,window_ID,timestep,open,volatility,volume,target
DAL,2023-10-19,132,34,33.279998779296875,0.0149993896484375,104748,1
DAL,2023-10-19,132,35,33.349998474121094,0.00499725341796875,98114,0
DAL,2023-10-19,132,36,33.37009811401367,0.19009780883789062,128109,0
DAL,2023-10-19,132,37,33.220001220703125,0.10000228881835938,111733,1
DAL,2023-10-19,132,38,33.13999938964844,0.0449981689453125,125073,1
DAL,2023-10-19,132,39,33.25,0.034999847412109375,135433,1
DAL,2023-10-19,132,40,33.27000045776367,0.0,123329,1
DAL,2023-10-19,132,41,33.380001068115234,0.05500030517578125,103070,0
DAL,2023-10-19,132,42,33.41999816894531,0.10999679565429688,106694,0
DAL,2023-10-19,132,43,33.36000061035156,0.034999847412109375,102565,1
DAL,2023-10-19,132,44,33.345001220703125,0.01000213623046875,88253,1
DAL,2023-10-19,132,45,33.44499969482422,0.07500076293945312,55833,0
DAL,2023-10-19,132,46,33.369998931884766,0.05999755859375,72027,0
DAL,2023-10-19,132,47,33.369998931884766,0.06779861450195312,74345,0
DAL,2023-10-19,132,48,33.334999084472656,0.031398773193359375,71441,0
DAL,2023-10-19,132,49,33.36000061035156,0.0800018310546875,112503,0
DAL,2023-10-19,132,50,33.29999923706055,0.11999893188476562,102456,0
DAL,2023-10-19,132,51,33.209999084472656,0.09000015258789062,91664,0
DAL,2023-10-19,132,52,33.1349983215332,0.034999847412109375,84562,0
DAL,2023-10-19,132,53,33.130001068115234,0.049102783203125,81523,0
DAL,2023-10-19,132,54,33.1150016784668,0.07000350952148438,135381,0
DAL,2023-10-19,132,55,33.06999969482422,0.049999237060546875,68513,0
DAL,2023-10-19,132,56,33.10499954223633,0.08499908447265625,80306,0
DAL,2023-10-19,132,57,33.029998779296875,0.0,68972,1
DAL,2023-10-19,132,58,33.060001373291016,0.030002593994140625,88643,1
DAL,2023-10-19,132,59,33.11000061035156,0.049999237060546875,77260,0
DAL,2023-10-19,132,60,33.060001373291016,0.005001068115234375,59068,0
DAL,2023-10-19,132,61,33.10499954223633,0.13499832153320312,130802,0
DAL,2023-10-19,132,62,32.9900016784668,0.0800018310546875,161726,0
DAL,2023-10-19,132,63,32.91999816894531,0.06999969482421875,139936,0
DAL,2023-10-19,132,64,32.86000061035156,0.0399017333984375,104247,0
DAL,2023-10-19,132,65,32.86000061035156,0.020000457763671875,111355,1
DAL,2023-10-19,132,66,32.85499954223633,0.024997711181640625,117985,1
DAL,2023-10-19,132,67,32.90950012207031,0.024501800537109375,106710,0
DAL,2023-10-19,132,68,32.939998626708984,0.07999801635742188,104305,0
DAL,2023-10-19,132,69,32.8650016784668,0.07500076293945312,152810,0
DAL,2023-10-19,132,70,32.814998626708984,0.020000457763671875,139521,0
DAL,2023-10-19,132,71,32.849998474121094,0.06999969482421875,112444,0
