stock,start_date,window_ID,timestep,open,volatility,volume,target
SNA,2023-12-07,938,21,279.3299865722656,0.079986572265625,1789,1
SNA,2023-12-07,938,22,279.3500061035156,0.010009765625,2182,1
SNA,2023-12-07,938,23,280.0,0.0,189,1
SNA,2023-12-07,938,24,279.9700012207031,0.0,469,1
SNA,2023-12-07,938,25,279.92999267578125,0.0,905,0
SNA,2023-12-07,938,26,280.0199890136719,0.139984130859375,1238,0
SNA,2023-12-07,938,27,279.8999938964844,0.0,1391,0
SNA,2023-12-07,938,28,279.7699890136719,0.173797607421875,859,0
SNA,2023-12-07,938,29,279.4150085449219,0.0,566,0
SNA,2023-12-07,938,30,279.3500061035156,0.010009765625,1859,1
SNA,2023-12-07,938,31,279.6099853515625,0.0,1611,0
SNA,2023-12-07,938,32,279.52740478515625,0.0,873,0
SNA,2023-12-07,938,33,279.4800109863281,0.0,253,1
SNA,2023-12-07,938,34,279.6099853515625,0.0,586,0
SNA,2023-12-07,938,35,279.5498962402344,0.0,1369,0
SNA,2023-12-07,938,36,279.69000244140625,0.209991455078125,1389,0
SNA,2023-12-07,938,37,279.6099853515625,0.0,1391,0
SNA,2023-12-07,938,38,279.4599914550781,0.0,401,1
SNA,2023-12-07,938,39,279.5299987792969,0.019989013671875,4745,1
SNA,2023-12-07,938,40,279.57000732421875,0.0,10976,1
SNA,2023-12-07,938,41,279.760009765625,0.0,1507,0
SNA,2023-12-07,938,42,279.69500732421875,0.0,1860,0
SNA,2023-12-07,938,43,279.4200134277344,0.0,251,1
SNA,2023-12-07,938,44,279.54998779296875,0.0,1231,1
SNA,2023-12-07,938,45,279.68499755859375,0.0050048828125,1388,1
SNA,2023-12-07,938,46,279.760009765625,0.0,1097,1
SNA,2023-12-07,938,47,279.8999938964844,0.0,3119,1
SNA,2023-12-07,938,48,279.9800109863281,0.0,958,1
SNA,2023-12-07,938,49,280.0350036621094,0.0,1474,1
SNA,2023-12-07,938,50,280.17498779296875,0.0,870,0
SNA,2023-12-07,938,51,280.1499938964844,0.0,1615,1
SNA,2023-12-07,938,52,280.2099914550781,0.0,215,1
SNA,2023-12-07,938,53,280.29998779296875,0.0,549,0
SNA,2023-12-07,938,54,280.2200012207031,0.07000732421875,2725,0
SNA,2023-12-07,938,55,280.2049865722656,0.29498291015625,7043,0
SNA,2023-12-07,938,56,280.0950012207031,0.0050048828125,2287,1
SNA,2023-12-07,938,57,280.239990234375,0.0,2456,0
SNA,2023-12-07,938,58,280.1600036621094,0.019989013671875,1827,1
SNA,2023-12-07,938,59,280.1549987792969,0.0,2449,0
SNA,2023-12-07,938,60,280.29998779296875,0.17999267578125,4508,0
SNA,2023-12-07,938,61,279.67999267578125,0.0,535,1
SNA,2023-12-07,938,62,279.80999755859375,0.0,3893,1
SNA,2023-12-07,938,63,279.92999267578125,0.1099853515625,3482,1
SNA,2023-12-07,938,64,279.80999755859375,0.0,10687,1
MA,2023-12-11,91,1,412.7200012207031,0.339996337890625,68197,1
MA,2023-12-11,91,2,413.92999267578125,0.269989013671875,20355,0
MA,2023-12-11,91,3,414.82501220703125,1.365020751953125,23002,0
MA,2023-12-11,91,4,413.5,0.172210693359375,17908,1
MA,2023-12-11,91,5,413.54998779296875,0.329986572265625,18420,1
MA,2023-12-11,91,6,413.489990234375,0.0999755859375,22808,1
MA,2023-12-11,91,7,414.8349914550781,0.7449951171875,23999,0
MA,2023-12-11,91,8,414.3299865722656,0.019989013671875,22715,0
MA,2023-12-11,91,9,414.510009765625,0.70501708984375,13527,0
MA,2023-12-11,91,10,413.8699951171875,0.32000732421875,15986,1
MA,2023-12-11,91,11,414.0299987792969,0.05999755859375,20783,1
MA,2023-12-11,91,12,414.4549865722656,0.2349853515625,12377,1
MA,2023-12-11,91,13,414.3800048828125,0.30499267578125,51249,1
MA,2023-12-11,91,14,415.20001220703125,0.05999755859375,19029,1
MA,2023-12-11,91,15,415.4200134277344,0.217498779296875,18601,1
MA,2023-12-11,91,16,415.5400085449219,0.25,16964,1
MA,2023-12-11,91,17,415.9100036621094,0.07000732421875,13928,0
MA,2023-12-11,91,18,416.04998779296875,0.509979248046875,14355,0
MA,2023-12-11,91,19,415.6099853515625,0.0,31995,0
MA,2023-12-11,91,20,415.8559875488281,0.675994873046875,35409,0
MA,2023-12-11,91,21,415.010009765625,0.08001708984375,21829,1
MA,2023-12-11,91,22,414.92999267578125,0.05999755859375,25085,1
MA,2023-12-11,91,23,415.1700134277344,0.1300048828125,34950,1
MA,2023-12-11,91,24,415.3599853515625,0.0,32917,0
MA,2023-12-11,91,25,415.8900146484375,0.870025634765625,17611,0
MA,2023-12-11,91,26,415.07000732421875,0.07000732421875,26210,1
MA,2023-12-11,91,27,415.1499938964844,0.19000244140625,8889,0
MA,2023-12-11,91,28,415.3399963378906,0.329986572265625,25589,0
MA,2023-12-11,91,29,415.1600036621094,0.040008544921875,6445,1
MA,2023-12-11,91,30,415.25,0.0,8183,1
MA,2023-12-11,91,31,415.45001220703125,0.06500244140625,12951,1
MA,2023-12-11,91,32,415.635009765625,0.175018310546875,14637,0
MA,2023-12-11,91,33,415.70001220703125,0.230010986328125,8894,0
MA,2023-12-11,91,34,415.36041259765625,0.160400390625,10241,1
MA,2023-12-11,91,35,415.3357849121094,0.12579345703125,8169,0
MA,2023-12-11,91,36,415.32000732421875,0.165008544921875,8382,0
MA,2023-12-11,91,37,415.125,0.105010986328125,11180,0
MA,2023-12-11,91,38,415.0199890136719,0.05999755859375,5264,0
MA,2023-12-11,91,39,415.04998779296875,0.149993896484375,9122,0
MA,2023-12-11,91,40,414.989990234375,0.1300048828125,9783,1
